CC(C)Nc1ncnc2oc(c3ccc(OCCN4CCCC4)cc3)c(c5ccccc5)c12,C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23,CHEMBL247866,CHEMBL247468,[*:1]C(C)C>>[*:1]CCN1CCNCC1,[*:1]Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c21
Fc1cccc(F)c1CN2C(=O)Nc3cnc(nc23)n4cnc5ccc(cc45)C#N,Fc1cccc(CN2C(=O)Nc3cnc(nc23)n4cnc5ccc(cc45)C#N)c1F,CHEMBL1079523,CHEMBL1080332,[*:1]Cc1c([*:2])cccc1[*:3]>>[*:1]Cc1cccc([*:3])c1[*:2],[*:2]F.[*:3]F.[*:1]n1c2nc(-n3cnc4ccc(C#N)cc43)ncc2[nH]c1=O
Fc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1,Clc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1,CHEMBL1081190,CHEMBL1076221,[*:1]F>>[*:1]Cl,[*:1]c1ccc2c(c1)C(n1c(=O)[nH]c3cnc(-n4cnc5ccccc54)nc31)CCO2
OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL1795071,CHEMBL1789941,O=P(O)(O)O>>[*:1]CC([*:3])[*:2],[*:1]C#N.[*:2]C1CCCC1.[*:3]n1cc(-c2ncnc3[nH]ccc32)cn1
OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL1795071,CHEMBL1789941,O=P(O)(O)O>>[*:1]CC([*:3])[*:2],[*:1]C#N.[*:2]C1CCCC1.[*:3]n1cc(-c2ncnc3[nH]ccc32)cn1
OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL1795071,CHEMBL1789941,O=P(O)(O)O>>[*:1]CC([*:3])[*:2],[*:1]C#N.[*:2]C1CCCC1.[*:3]n1cc(-c2ncnc3[nH]ccc32)cn1
OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,CHEMBL1795071,CHEMBL1789941,O=P(O)(O)O>>[*:1]CC([*:3])[*:2],[*:1]C#N.[*:2]C1CCCC1.[*:3]n1cc(-c2ncnc3[nH]ccc32)cn1
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1,CC(C)Nc1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1,CHEMBL2443138,CHEMBL2443139,[*:1]N([*:2])C>>[*:1]NC([*:2])C,[*:2]C.[*:1]c1ccc(Oc2cc(O)cc(O)c2-c2cc(C(=O)NC3CCN(C)CC3)no2)cc1
CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4cccc(CN5CCS(=O)(=O)CC5)c4)nc23,CN1CCN(Cc2cccc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)c2)CC1,CHEMBL2062807,CHEMBL2062806,[*:1]N1CCS(=O)(=O)CC1>>[*:1]N1CCN(C)CC1,[*:1]Cc1cccc(Nc2nc3c(-c4ccc(S(C)(=O)=O)cc4)cccn3n2)c1
C[C@H](Nc1ncc(F)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)N(C)C)n1)c3ncc(F)cn3,CHEMBL1650697,CHEMBL1650731,[*:1]Nc1cc([*:2])[nH]n1>>[*:1]Nc1cc(N([*:2])C)[nH]n1,[*:2]C.[*:1]c1nc(N[C@@H](C)c2ncc(F)cn2)ncc1F
Fc1cc(NCCOc2ccc(NC3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)cc2)ccn1,Fc1cc(NCCCOc2ccc(NC3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)cc2)ccn1,CHEMBL3114772,CHEMBL3114771,[*:1]C[*:2]>>[*:1]CC[*:2],[*:1]COc1ccc(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc1.[*:2]Nc1ccnc(F)c1
COc1cc(Nc2cc(nc(N[C@@H](C)c3ncc(F)cn3)n2)N4CCOCC4)n[nH]1,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cc(n1)N3CCOCC3)c4ncc(F)cn4,CHEMBL1650735,CHEMBL1650732,[*:1]Oc1cc([*:2])n[nH]1>>[*:2]c1cc([*:1])[nH]n1,[*:1]C.[*:2]Nc1cc(N2CCOCC2)nc(N[C@@H](C)c2ncc(F)cn2)n1
CCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCN(CCC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL569092,CHEMBL570456,[*:1]CN([*:2])C([*:3])=O>>[*:1]CN(C[*:2])C([*:3])=O,[*:1]C.[*:2]CC(F)(F)F.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1
CCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL569092,CHEMBL569957,[*:1]CN([*:2])C([*:3])=O>>[*:1]CCN([*:2])C([*:3])=O,[*:1]C.[*:2]CC(F)(F)F.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1
CCN(CCC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL570456,CHEMBL569957,[*:1]CN(C[*:2])C([*:3])=O>>[*:2]CCN([*:1])C([*:3])=O,[*:2]C.[*:1]CC(F)(F)F.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1
O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,CHEMBL1077842,CHEMBL1078178,[*:1]CN1CCS(=O)(=O)CC1>>[*:1]N1CCOCC1,[*:1]c1ccc(Nc2nccc(-c3ccc(C(=O)NCC#N)cc3)n2)cc1
O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCSCC4)n2,CHEMBL1077842,CHEMBL1077841,[*:1]CN1CCS(=O)(=O)CC1>>[*:1]N1CCSCC1,[*:1]c1ccc(Nc2nccc(-c3ccc(C(=O)NCC#N)cc3)n2)cc1
O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2,CHEMBL1077842,CHEMBL1078721,[*:1]CN1CCS(=O)(=O)CC1>>[*:1]CN1CCOCC1,[*:1]c1ccc(Nc2nccc(-c3ccc(C(=O)NCC#N)cc3)n2)cc1
O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,CCN1CCN(Cc2ccc(Nc3nccc(n3)c4ccc(cc4)C(=O)NCC#N)cc2)CC1,CHEMBL1077842,CHEMBL1078933,[*:1]CN1CCS(=O)(=O)CC1>>[*:1]CN1CCN(CC)CC1,[*:1]c1ccc(Nc2nccc(-c3ccc(C(=O)NCC#N)cc3)n2)cc1
